user_id,gender,income_level,age,minutes_viewed,country_code,platform,characteristics,ml_output
35,Male,Low,18 - 24,11,ID,android,casual,
67,Female,High,18 - 24,1446,ID,iOS,player,
73,Female,Medium,25 - 34,113,ID,android,casual,
74,Male,Low,35 - 44,1,NP,android,casual,
75,Male,Low,25 - 34,0,NP,android,casual,
81,Male,Medium,25 - 34,0,ID,android,casual,
86,Male,Low,< 18,4,ID,android,casual,
95,Female,Medium,18 - 24,335,PH,android,casual,
97,Male,Medium,25 - 34,0,NP,android,casual,
98,Male,Medium,< 18,34,ID,android,casual,
101,Female,Low,25 - 34,250,NP,android,player,
103,Male,Low,25 - 34,4,NP,android,casual,
105,Male,Low,25 - 34,181,ID,android,casual,
107,Male,Medium,35 - 44,7,PH,android,casual,
108,Male,Low,25 - 34,747,ID,android,player,
120,Male,Medium,< 18,2,PH,android,casual,
127,Female,Low,18 - 24,19,PH,android,casual,
136,Female,Low,< 18,5,PH,android,player,
139,Female,Medium,25 - 34,88,NP,android,casual,
140,Female,Medium,25 - 34,35,PH,android,casual,
145,Female,Low,35 - 44,0,NP,android,casual,
146,Female,Low,25 - 34,984,ID,android,player,
158,Female,Low,25 - 34,10,ID,android,casual,
168,Female,Medium,25 - 34,1611,ID,android,player,
170,Male,Low,25 - 34,891,ID,android,addict,
175,Female,Low,< 18,74,ID,android,casual,
177,Female,Medium,18 - 24,798,ID,iOS,player,
186,Male,Medium,25 - 34,0,ID,android,casual,
197,Male,Low,25 - 34,222,MY,android,player,
201,Male,Medium,25 - 34,1742,ID,android,addict,
205,Female,Low,25 - 34,495,PH,android,player,
206,Male,Low,25 - 34,0,ID,android,casual,
208,Female,Low,25 - 34,0,NP,android,casual,
210,Male,Low,18 - 24,105,ID,android,casual,
227,Female,Medium,25 - 34,235,ID,android,casual,
233,Female,Medium,< 18,3,ID,android,TV Lovers,
240,Male,Medium,25 - 34,2,NP,android,casual,
267,Female,Medium,18 - 24,1210,MY,android,player,
278,Male,Low,< 18,1,ID,android,casual,
311,Female,Medium,18 - 24,559,PH,android,Social Media Fans,
345,Male,Medium,45 - 54,874,ID,android,Social Media Fans,
359,Male,Low,25 - 34,5,ID,android,casual,
403,Female,Medium,25 - 34,321,ID,android,Social Media Fans,
424,Female,High,25 - 34,645,PH,iOS,Social Media Fans,
447,Female,High,25 - 34,173,MY,iOS,casual,
478,Male,Medium,25 - 34,742,NP,android,player,
510,Female,Low,35 - 44,111,MY,android,casual,
561,Male,Medium,25 - 34,1,NP,android,casual,
563,Male,Low,35 - 44,10,PH,android,casual,
8589934638,Male,Medium,35 - 44,31,MY,iOS,casual,
8589934664,Female,Medium,25 - 34,1,ID,android,casual,
8589934669,Male,Medium,< 18,541,ID,android,player,
8589934683,Female,Medium,25 - 34,51,ID,android,casual,
8589934685,Male,Low,18 - 24,0,MY,android,casual,
8589934686,Female,Medium,25 - 34,162,MY,android,Travellers,
8589934688,Male,Low,25 - 34,953,NP,android,Movies Lovers,
8589934689,Male,Low,25 - 34,187,NP,android,player,
8589934692,Female,Medium,25 - 34,4508,ID,android,TV Lovers,
8589934693,Female,Low,25 - 34,0,PH,android,Movies Lovers,
8589934699,Male,Low,25 - 34,9,ID,android,casual,
8589934700,Female,Medium,35 - 44,90,ID,android,casual,
8589934705,Male,Low,25 - 34,831,ID,android,addict,
8589934710,Male,Low,25 - 34,1,MY,android,casual,
8589934711,Male,High,18 - 24,0,PH,android,casual,
8589934715,Female,Low,25 - 34,1497,PH,android,Mobile Enthusiasts,
8589934721,Female,Low,< 18,218,ID,android,player,
8589934723,Male,Medium,25 - 34,206,ID,android,player,
8589934730,Male,Medium,25 - 34,1404,ID,android,player,
8589934736,Male,Low,18 - 24,106,ID,android,casual,
8589934743,Female,Low,35 - 44,69,MY,android,casual,
8589934752,Female,High,35 - 44,281,NP,android,player,
8589934756,Female,Medium,25 - 34,1266,ID,android,Movies Lovers,
8589934758,Female,High,18 - 24,101,PH,android,player,
8589934761,Female,Low,25 - 34,100,ID,android,casual,
8589934763,Male,Medium,18 - 24,70,KH,iOS,player,
8589934770,Male,High,25 - 34,21,ID,iOS,casual,
8589934772,Male,Medium,25 - 34,101,NP,android,casual,
8589934781,Male,Medium,35 - 44,0,PH,android,casual,
8589934783,Male,Medium,25 - 34,6,PH,android,casual,
8589934793,Male,Medium,18 - 24,0,PH,android,casual,
8589934806,Male,Low,35 - 44,310,NP,android,casual,
8589934815,Female,Low,< 18,32,PH,android,player,
8589934817,Female,Low,18 - 24,1,PH,android,casual,
8589934830,Male,Low,25 - 34,108,PH,android,casual,
8589934859,Female,High,18 - 24,854,ID,iOS,Social Media Fans,
8589934869,Female,Low,18 - 24,1088,PH,android,Social Media Fans,
8589934881,Male,Medium,25 - 34,163,MY,android,Social Media Fans,
8589934907,Male,Medium,18 - 24,1136,ID,android,Social Media Fans,
8589934929,Female,Low,< 18,938,PH,android,player,
8589934934,Male,Medium,18 - 24,309,VN,iOS,Social Media Fans,
8589934981,Male,Low,< 18,1532,ID,android,player,
8589934986,Female,Low,< 18,209,PH,android,Social Media Fans,
8589934992,Female,Low,18 - 24,0,ID,android,Social Media Fans,
8589934997,Male,Low,18 - 24,10,MY,android,casual,
8589935002,Male,High,25 - 34,406,TH,android,casual,
8589935004,Female,Low,18 - 24,1810,MY,android,player,
8589935014,Female,Low,25 - 34,70,ID,android,Social Media Fans,
8589935047,Male,Low,25 - 34,107,ID,android,casual,
8589935064,Female,Low,25 - 34,291,ID,android,player,
8589935104,Male,Medium,25 - 34,828,PH,android,Social Media Fans,
8589935156,Female,Low,< 18,48,ID,android,casual,
8589935171,Female,High,< 18,265,PH,iOS,Music Lovers,
17179869225,Male,Medium,25 - 34,579,ID,android-tv,player,
17179869236,Male,Medium,25 - 34,1,MY,android,casual,
17179869240,Female,Medium,18 - 24,40,ID,android,casual,
17179869241,Male,Low,25 - 34,147,PH,android,casual,
17179869248,Female,Medium,25 - 34,0,ID,android,casual,
17179869251,Female,Medium,25 - 34,2,PH,android,casual,
17179869253,Female,Low,25 - 34,20,MY,android,casual,
17179869260,Female,High,18 - 24,1,ID,iOS,casual,
17179869265,Female,High,25 - 34,313,MY,iOS,Movies Lovers,
17179869275,Male,Medium,25 - 34,0,PH,android,Travellers,
17179869292,Male,High,25 - 34,2,MY,iOS,casual,
17179869293,Male,Medium,25 - 34,113,MY,iOS,player,
17179869305,Male,Medium,35 - 44,1367,PH,android,player,
17179869309,Male,Medium,25 - 34,11,BD,android,casual,
17179869316,Male,Medium,18 - 24,166,ID,android,Movies Lovers,
17179869324,Female,Medium,25 - 34,261,MY,android,casual,
17179869325,Female,Low,18 - 24,21,PH,android,casual,
17179869340,Male,Low,25 - 34,405,ID,android,casual,
17179869342,Male,Low,< 18,245,BD,android,player,
17179869347,Female,High,25 - 34,456,PH,iOS,player,
17179869356,Male,Low,25 - 34,16,PH,android,casual,
17179869357,Male,Medium,< 18,16,ID,android,casual,
17179869364,Male,Low,25 - 34,0,NP,android,casual,
17179869373,Female,Medium,< 18,6,PH,android,casual,
17179869374,Female,Medium,55+,1,ID,android,casual,
17179869375,Male,Low,25 - 34,180,PH,android,player,
17179869382,Female,Medium,25 - 34,271,NP,android,Travellers,
17179869386,Female,Low,25 - 34,395,PH,android,Movies Lovers,
17179869389,Male,Low,< 18,11,ID,android,casual,
17179869417,Female,Low,25 - 34,2464,PH,android,TV Lovers,
17179869420,Male,Low,25 - 34,6,NP,android,Mobile Enthusiasts,
17179869443,Male,Low,35 - 44,39,MY,web,addict,
17179869452,Female,Low,< 18,23,PH,android,Social Media Fans,
17179869476,Female,Medium,< 18,5376,PH,android,Mobile Enthusiasts,
17179869495,Female,Medium,35 - 44,207,MY,android,player,
17179869496,Female,Low,25 - 34,1115,ID,android,Social Media Fans,
17179869509,Male,Medium,55+,1,MM,android,Social Media Fans,
17179869513,Male,Medium,25 - 34,1936,PH,android,Movies Lovers,
17179869550,Male,Low,25 - 34,36,ID,android,casual,
17179869565,Female,Medium,< 18,879,ID,android,Social Media Fans,
17179869583,Female,Low,< 18,362,PH,android,casual,
17179869592,Male,Low,18 - 24,11,BD,android,Social Media Fans,
17179869594,Female,Low,< 18,1070,PH,android,Movies Lovers,
17179869599,Male,Low,25 - 34,3257,MY,android,addict,
17179869604,Female,Medium,18 - 24,6,ID,android,casual,
17179869608,Male,Medium,25 - 34,317,BD,android,Social Media Fans,
17179869610,Female,Low,18 - 24,274,PH,android,casual,
17179869612,Male,Low,18 - 24,1,TH,android,Social Media Fans,
17179869644,Male,Medium,35 - 44,35,MY,iOS,casual,
17179869693,Female,High,< 18,429,PH,iOS,Social Media Fans,
17179869710,Female,Medium,35 - 44,34,MY,android,casual,
17179869718,Male,Low,18 - 24,8,ID,android,Mobile Enthusiasts,
17179869719,Male,Medium,18 - 24,186,ID,android,Mobile Enthusiasts,
17179869722,Female,Low,25 - 34,76,ID,android,Movies Lovers,
25769803810,Male,Low,< 18,304,ID,android,player,
25769803841,Male,Medium,18 - 24,106,ID,android,casual,
25769803845,Male,Medium,18 - 24,1405,ID,android,player,
25769803847,Male,Low,25 - 34,2,NP,android,casual,
25769803848,Female,High,18 - 24,4,ID,iOS,casual,
25769803850,Female,Low,25 - 34,3,PH,android,casual,
25769803853,Male,High,35 - 44,37,ID,android,Movies Lovers,
25769803854,Male,Low,25 - 34,194,NP,android,player,
25769803861,Female,Low,< 18,87,ID,android,casual,
25769803862,Female,High,< 18,388,ID,iOS,casual,
25769803866,Female,Medium,25 - 34,1568,PH,android,player,
25769803870,Male,Low,35 - 44,0,MY,android,casual,
25769803871,Female,Medium,25 - 34,178,PH,android,player,
25769803872,Female,High,< 18,697,PH,iOS,player,
25769803873,Male,Low,35 - 44,2,NP,android,casual,
25769803875,Female,High,25 - 34,581,MY,iOS,player,
25769803877,Female,Low,18 - 24,318,KH,android,player,
25769803878,Male,Low,25 - 34,4,NP,android,casual,
25769803879,Male,Medium,25 - 34,83,PH,android,casual,
25769803883,Female,Low,18 - 24,39,ID,android,casual,
25769803885,Male,Medium,18 - 24,158,NP,android,casual,
25769803886,Female,Low,25 - 34,3774,PH,android,TV Lovers,
25769803887,Male,Low,18 - 24,35,KH,android,casual,
25769803889,Male,Medium,25 - 34,195,ID,android,casual,
25769803892,Male,High,25 - 34,364,ID,iOS,casual,
25769803896,Female,Low,25 - 34,39,BD,googlecast,casual,
25769803900,Male,High,25 - 34,0,MY,iOS,casual,
25769803905,Male,Medium,25 - 34,23,PH,android,casual,
25769803916,Male,Medium,25 - 34,1208,ID,android,addict,
25769803917,Male,Medium,18 - 24,13,PH,android,casual,
25769803921,Female,High,< 18,18,PH,iOS,casual,
25769803929,Female,Low,25 - 34,1,ID,android,casual,
25769803932,Male,Low,25 - 34,0,BD,android,casual,
25769803934,Female,Low,25 - 34,18,PH,android,casual,
25769803943,Female,Low,25 - 34,3,PH,android,Travellers,
25769803951,Female,Low,35 - 44,1023,ID,android,player,
25769803952,Male,Low,25 - 34,75,NP,android,casual,
25769803964,Male,Medium,25 - 34,125,ID,android,Travellers,
25769803969,Female,High,18 - 24,1797,PH,iOS,casual,
25769803985,Female,Medium,25 - 34,484,PH,android,player,
25769803996,Male,Medium,< 18,4,TH,android,casual,
25769804013,Male,Low,25 - 34,7,IQ,android,Movies Lovers,
25769804016,Male,Low,25 - 34,349,ID,android,Movies Lovers,
25769804026,Male,Medium,18 - 24,201,PH,android,Social Media Fans,
25769804063,Female,Low,35 - 44,36,ID,android,casual,
25769804071,Female,Low,35 - 44,225,ID,android,player,
25769804119,Female,Medium,25 - 34,110,PH,android,casual,
25769804143,Male,Medium,35 - 44,76,ID,android,player,
25769804175,Female,Medium,18 - 24,758,PH,android,Social Media Fans,
25769804181,Male,Medium,35 - 44,7,MY,iOS,Social Media Fans,
25769804210,Female,Low,< 18,415,PH,android,player,
25769804214,Female,Low,< 18,247,ID,android,casual,
25769804221,Female,Medium,25 - 34,272,PH,android,Social Media Fans,
25769804224,Female,Medium,18 - 24,1084,PH,android,player,
25769804230,Female,Low,18 - 24,507,PH,android,Movies Lovers,
25769804260,Female,Low,35 - 44,246,ID,android,casual,
34359738403,Female,Medium,25 - 34,4,ID,android,casual,
34359738406,Male,Low,18 - 24,3,BD,android-tv,casual,
34359738428,Female,High,25 - 34,12,ID,iOS,casual,
34359738441,Female,High,25 - 34,0,NP,iOS,casual,
34359738442,Male,Low,25 - 34,383,ID,android,Travellers,
34359738444,Female,High,25 - 34,1,MM,iOS,casual,
34359738445,Male,High,25 - 34,55,TH,android,casual,
34359738451,Female,Medium,25 - 34,19,PH,android,casual,
34359738455,Male,Medium,35 - 44,175,ID,android,player,
34359738456,Female,Medium,18 - 24,2,PH,android,casual,
34359738459,Female,Medium,25 - 34,20,MM,android,casual,
34359738477,Female,Medium,25 - 34,254,ID,android,casual,
34359738481,Female,Low,35 - 44,313,NP,android,addict,
34359738482,Male,Low,25 - 34,0,BD,android,Travellers,
34359738489,Female,Medium,25 - 34,57,MY,iOS,casual,
34359738491,Female,Medium,25 - 34,8,MY,iOS,casual,
34359738495,Male,Low,35 - 44,0,NP,android,casual,
34359738500,Female,High,25 - 34,41,MY,android,player,
34359738501,Female,Low,25 - 34,41,ID,android,casual,
34359738509,Female,Medium,25 - 34,300,PH,android,casual,
34359738510,Male,Low,35 - 44,1228,ID,android,addict,
34359738512,Male,High,18 - 24,142,TH,android,player,
34359738516,Female,Medium,25 - 34,0,ID,android,casual,
34359738551,Female,Low,25 - 34,2939,ID,android,addict,
34359738558,Female,Medium,25 - 34,11,PH,android,casual,
34359738572,Female,Low,< 18,404,ID,android,player,
34359738586,Female,Medium,18 - 24,135,ID,android,casual,
34359738609,Male,Low,18 - 24,438,ID,android,Movies Lovers,
34359738614,Female,Medium,25 - 34,152,ID,android,Movies Lovers,
34359738630,Female,Low,25 - 34,84,PH,android,casual,
34359738634,Female,Low,45 - 54,892,MY,android,addict,
34359738645,Female,Medium,25 - 34,178,PH,android,casual,
34359738658,Male,Medium,< 18,350,PH,android,Social Media Fans,
34359738740,Female,Low,25 - 34,439,NP,android,Social Media Fans,
34359738759,Female,Low,25 - 34,730,NP,android,Social Media Fans,
34359738765,Female,High,35 - 44,459,TH,iOS,casual,
34359738778,Female,Medium,18 - 24,45,PH,android,casual,
34359738780,Female,Medium,18 - 24,5,PH,android,Social Media Fans,
34359738783,Male,High,18 - 24,110,ID,android,casual,
34359738815,Female,Medium,25 - 34,301,PH,android,Social Media Fans,
34359738816,Female,Medium,18 - 24,282,ID,android,casual,
34359738827,Female,Medium,18 - 24,361,PH,android,casual,
34359738851,Female,Low,25 - 34,104,ID,android,Social Media Fans,
34359738858,Female,Low,25 - 34,6,BD,android,casual,
42949673016,Male,Medium,25 - 34,926,ID,android,addict,
42949673017,Female,Low,18 - 24,0,ID,android,casual,
42949673018,Female,Low,< 18,96,ID,android,casual,
42949673024,Male,Low,25 - 34,2,NP,android,Mobile Enthusiasts,
42949673025,Male,Medium,25 - 34,322,NP,android,casual,
42949673029,Male,Low,55+,1729,MY,android,Mobile Enthusiasts,
42949673030,Male,High,25 - 34,2,ID,android,casual,
42949673031,Female,Medium,< 18,102,ID,android,Travellers,
42949673032,Female,High,< 18,0,ID,iOS,casual,
42949673034,Male,Low,25 - 34,437,NP,android,TV Lovers,
42949673036,Female,High,25 - 34,125,ID,android,Travellers,
42949673039,Female,Low,25 - 34,16,PH,android,casual,
42949673081,Female,Low,< 18,0,BD,android,casual,
42949673084,Male,Medium,55+,456,PH,android,addict,
42949673085,Female,Low,25 - 34,10,MY,android,casual,
42949673090,Female,Low,18 - 24,84,PH,android,casual,
42949673098,Male,Low,18 - 24,0,ID,android,casual,
42949673106,Male,High,35 - 44,326,NP,iOS,casual,
42949673108,Female,Low,< 18,2100,PH,android,player,
42949673122,Male,Low,25 - 34,50,MY,android,casual,
42949673167,Male,Medium,25 - 34,188,ID,android,casual,
42949673177,Male,Low,25 - 34,92,ID,android,Travellers,
42949673182,Female,High,25 - 34,681,MY,iOS,addict,
42949673190,Male,Medium,25 - 34,5,ID,android,Social Media Fans,
42949673197,Male,Medium,25 - 34,207,PH,android,casual,
42949673202,Male,Low,35 - 44,46,ID,android,Social Media Fans,
42949673203,Male,High,18 - 24,1,TH,iOS,Social Media Fans,
42949673223,Female,Low,25 - 34,156,TH,android,Social Media Fans,
42949673232,Female,Low,< 18,1385,PH,android,Social Media Fans,
42949673239,Female,Medium,18 - 24,2,PH,android,casual,
42949673244,Female,Low,18 - 24,3,PH,android,casual,
42949673255,Male,Medium,35 - 44,320,ID,android,casual,
42949673319,Female,Low,18 - 24,0,PH,android,player,
42949673380,Male,Low,25 - 34,225,NP,android,player,
42949673389,Female,Low,< 18,2,PH,android,Social Media Fans,
42949673393,Female,Medium,25 - 34,623,PH,android,player,
42949673412,Female,High,< 18,268,PH,iOS,player,
42949673483,Male,High,25 - 34,288,PH,iOS,casual,
51539607599,Female,Medium,< 18,2,BD,android,casual,
51539607607,Male,Low,25 - 34,0,NP,android,casual,
51539607609,Male,Low,25 - 34,2,PH,android,casual,
51539607610,Female,Low,< 18,125,PH,android,casual,
51539607613,Male,Low,25 - 34,134,ID,android,casual,
51539607614,Female,Low,25 - 34,168,ID,android,player,
51539607616,Female,High,25 - 34,227,ID,iOS,casual,
51539607617,Female,High,25 - 34,0,MY,web,casual,
51539607618,Male,Medium,35 - 44,657,PH,android,player,
51539607621,Female,Low,18 - 24,1083,PH,android,player,
51539607622,Female,Low,25 - 34,213,NP,android,casual,
51539607626,Female,Medium,25 - 34,265,PH,android,player,
51539607629,Female,Medium,25 - 34,1053,ID,android,player,
51539607630,Female,High,< 18,232,PH,iOS,player,
51539607639,Female,Low,25 - 34,459,PH,android,casual,
51539607640,Male,Low,18 - 24,788,KH,android,addict,
51539607641,Female,Low,35 - 44,1,ID,android,casual,
51539607659,Male,Low,25 - 34,4,BD,android,casual,
51539607660,Female,Low,18 - 24,39,ID,android,casual,
51539607680,Female,Medium,25 - 34,1,PH,android,casual,
51539607683,Male,Medium,25 - 34,667,ID,android,player,
51539607684,Female,High,25 - 34,9,GH,iOS,casual,
51539607686,Male,Medium,25 - 34,0,MY,iOS,casual,
51539607690,Male,Low,25 - 34,485,ID,android,player,
51539607716,Female,Medium,18 - 24,815,PH,android,casual,
51539607722,Female,Medium,25 - 34,55,PH,android,casual,
51539607790,Male,Low,35 - 44,22,ID,android,casual,
51539607810,Female,Low,35 - 44,0,PH,android,casual,
51539607833,Female,Low,18 - 24,191,MY,android,player,
51539607862,Male,Low,18 - 24,37,ID,android,casual,
51539607872,Female,Low,18 - 24,426,PH,android,Social Media Fans,
51539607899,Male,Medium,25 - 34,384,ID,android,Social Media Fans,
51539607909,Female,Medium,18 - 24,540,PH,android,player,
51539607911,Male,Medium,18 - 24,917,PH,android,player,
51539607952,Male,Low,25 - 34,216,NP,android,Social Media Fans,
51539607955,Female,Medium,< 18,435,NP,android,Social Media Fans,
51539607967,Female,Low,25 - 34,301,ID,android,casual,
51539607983,Male,Medium,25 - 34,75,ID,android,casual,
51539607986,Male,Medium,18 - 24,47,PH,android,Social Media Fans,
51539608010,Male,Low,35 - 44,206,BD,android,casual,
51539608013,Male,Low,18 - 24,469,PH,android,Social Media Fans,
51539608014,Male,Medium,35 - 44,363,BD,android,Travellers,
51539608015,Female,Low,25 - 34,11,PH,android,Social Media Fans,
51539608019,Female,Medium,18 - 24,8,PH,android,Social Media Fans,
51539608037,Male,Medium,< 18,298,ID,android,Social Media Fans,
51539608066,Female,Low,< 18,2,PH,android,Social Media Fans,
51539608069,Female,Low,18 - 24,239,ID,android,Social Media Fans,
60129542195,Female,Low,35 - 44,36,MY,android,casual,
60129542198,Female,Low,25 - 34,0,PK,android,casual,
60129542203,Female,Low,25 - 34,651,NP,android,addict,
60129542207,Male,Medium,25 - 34,165,ID,android,casual,
60129542224,Male,Medium,25 - 34,165,ID,android,casual,
60129542228,Female,High,25 - 34,9,PH,iOS,casual,
60129542233,Male,Medium,25 - 34,0,NP,android,casual,
60129542242,Female,Low,25 - 34,1321,PH,android,Movies Lovers,
